Id,Class,Title,Instructor,Classroom,Time
921U2110,00,演算法　　　　　　,陳和麟　,明達205　,"一2,3,4　　"
B0115000,00,生物科學通論　　　,莊曜宇　,明達231　,"一3,4 五3,4"
921D0040,03,專題討論　　　　　,于天立　,明達231　,一7　　　　　　
943D0020,01,專題討論　　　　　,闕志達　,明達231　,一9　　　　　　
921U0770,00,計算機容錯　　　　,郭斯彥　,博理103　,"一2,3,4　　"
90132500,00,資料結構　　　　　,顏嗣鈞　,博理112　,"一2,3,4　　"
943D0020,03,專題討論　　　　　,江蕙如　,博理112　,一8　　　　　　
90121100,00,離散數學　　　　　,雷欽隆　,博理113　,"一3,4　　　　"
921M9000,00,專題演講　　　　　,陳景然　,博理113　,一9　　　　　　
90210720,01,計算機概論　　　　,徐宏民　,資101　　,"一2,3,4　　"
922U1070,00,機器人學　　　　　,傅立成　,資101　　,"一6,7,8　　"
90243500,01,自動機與形式語言　,林智仁　,資102　　,"一3,4,5　　"
922U4490,00,智慧型汽車導論　　,林忠緯　,資102　　,"一6,7,8　　"
922U1930,00,矩陣計算　　　　　,顏文明　,資102　　,"一A,B,C　　"
922U4240,00,機器學習　　　　　,林軒田　,資103　　,"一3,4 五3,4"
90243500,02,自動機與形式語言　,陳偉松　,資104　　,"一3,4,5　　"
922U1810,00,演算法設計方法論　,陳健輝　,資105　　,"一3,4,5　　"
922U4480,00,量子電腦　　　　　,劉長遠　,資105　　,"一7,8,9　　"
922U3480,02,遊戲設計　　　　　,陳彥仰　,資110　　,"一2,3,4　　"
90248040,00,計算機概論　　　　,傅楸善　,資110　　,"一8,9　　　　"
90221410,00,數位電子與數位電路,賴飛羆　,資111　　,"一7,8 三7　"
941U0230,00,醫療光電　　　　　,李翔傑　,電二102　,"一2,3,4　　"
90125110,05,電磁學一　　　　　,李俊興　,電二104　,"一3,4 二7　"
90125110,02,電磁學一　　　　　,林晃巖　,電二106　,"一3,4 二7　"
90110040,00,工程數學-複變　　,陳士元　,電二143　,"一7,8　　　　"
90125110,04,電磁學一　　　　　,林怡成　,電二144　,"一3,4 二7　"
921D0040,00,專題討論　　　　　,林宗男　,電二144　,一6 三7　　　
921U6110,00,電力系統控制與穩定度,許源浴　,電二145　,"一2,3,4　　"
90125110,03,電磁學一　　　　　,鄭宇翔　,電二146　,"一3,4 二7　"
90125110,01,電磁學一　　　　　,周錫增　,電二225　,"一3,4 二7　"
921U7110,00,半導體元件物理　　,張子璿　,電二229　,"一2,3,4　　"
90137300,00,固態電子學　　　　,胡振國　,電二229　,"一7,8,9　　"
921U3060,00,醫學工程導論　　　,宋孔彬　,明達205　,"二2,3,4　　"
941U0510,00,光電半導體物理　　,吳志毅　,明達205　,"二8,9,10　"
941U0460,00,矽光子學　　　　　,黃定洧　,明達231　,"二2,3,4　　"
90110210,02,計算機程式　　　　,于天立　,明達231　,"二6 三8,9　"
943U0530,00,先進半導體與顯示技術,劉致為　,明達231　,"二7,8,9　　"
942U0350,00,數位通信二　　　　,蘇炫榮　,博理103　,"二2,3,4　　"
941U0480,00,光電儀測　　　　　,林恭如　,博理103　,"二7,8,9　　"
942U0660,00,深度學習於電腦視覺,王鈺強　,博理112　,"二7,8,9　　"
90110210,03,計算機程式　　　　,林宗男　,博理113　,"二6 三8,9　"
943U0240,00,電腦輔助積體電路系統設計,楊家驤　,博理113　,"二7,8,9　　"
90131800,00,電力工程導論　　　,劉志文　,博理114　,"二2,3,4　　"
90143700,00,奈米電子導論　　　,吳肇欣　,博理114　,"二7,8,9　　"
90210720,02,計算機概論　　　　,莊永裕　,資101　　,"二7,8,9　　"
90239130,01,計算機網路　　　　,周承復　,資102　　,"二3,4,5　　"
90225040,02,線性代數　　　　　,李明穗　,資102　　,"二7,8,9　　"
922U0610,00,電腦視覺　　　　　,傅楸善　,資103　　,"二7,8,9　　"
922U4510,01,區塊鏈導論　　　　,薛智文　,資103　　,"二A,B,C　　"
90246100,02,計算機結構　　　　,洪士灝　,資104　　,"二2,3,4　　"
90225040,01,線性代數　　　　　,陳文進　,資104　　,"二7,8,9　　"
922U0150,00,個人通訊服務　　　,林風　　,資105　　,"二7,8,9　　"
922U0290,00,生物序列分析演算法,趙坤茂　,資107　　,"二2,3,4　　"
922U4460,00,感知運算　　　　　,徐宏民　,資107　　,"二7,8,9　　"
922U4500,00,最佳化演算法　　　,李彥寰　,資111　　,"二7,8,9　　"
944U0020,00,視訊壓縮技術、標準與實務,童怡新　,資111　　,"二A,B,C　　"
921U8500,00,矩陣代數及其應用　,馮蟻剛　,電二102　,"二3,4 四6　"
921M1390,00,類神經控制系統　　,林巍聳　,電二102　,"二7,8 五6　"
943U0060,00,記憶體電路設計概論,陳信樹　,電二104　,"二8,9,10　"
90110210,04,計算機程式　　　　,魏宏宇　,電二106　,"二6 三8,9　"
90137500,00,光電導論　　　　　,邱奕鵬　,電二141　,"二6,7,8　　"
90134300,00,網路服務程式設計　,黃鐘揚　,電二143　,"二2,3,4　　"
90110210,01,計算機程式　　　　,謝宏昀　,電二143　,"二6 三8,9　"
90143200,00,計算機結構　　　　,盧奕璋　,電二143　,"二7,8,9　　"
921U0560,00,微波電路　　　　　,盧信嘉　,電二144　,"二2,3,4　　"
921U2610,00,金融科技　　　　　,林澤　　,電二145　,"二7,8,9　　"
921U0080,00,電力電子學　　　　,陳景然　,電二146　,"二2,3,4　　"
90140400,00,電子電路設計　　　,曹恒偉　,電二146　,"二8,9 四6　"
921U1660,00,鎖相迴路原理及應用,劉深淵　,電二225　,"二2,3,4　　"
921U7170,00,金氧半電容元件　　,胡振國　,電二229　,"二2,3,4　　"
90134100,00,投資學導論　　　　,莊文議　,電二229　,"二6,7,8　　"
941U0570,00,光學傳播散射模擬　,曾雪峰　,電二303　,"二2,3,4　　"
90110030,02,工程數學-線性代數,蘇柏青　,明達205　,"三2 五3,4　"
90120130,04,工程數學-微分方程(一),丁建均　,明達205　,"三3,4　　　　"
921D0040,01,專題討論　　　　　,陳政維　,明達205　,"三8,9　　　　"
945U3030,00,超解析顯微技術　　,楊東霖　,明達225　,"三7,8,9　　"
921U8200,00,線性系統　　　　　,連豊力　,明達231　,"三2,3,4　　"
941U0490,00,固態照明　　　　　,黃建璋　,博理103　,"三7,8,9　　"
90110030,03,工程數學-線性代數,李宏毅　,博理112　,"三2 五3,4　"
90120130,01,工程數學-微分方程(一),林清富　,博理112　,"三3,4　　　　"
90139000,01,演算法　　　　　　,張耀文　,博理112　,"三7,8,9　　"
921U2530,00,資料科學　　　　　,陳銘憲　,博理113　,"三2,3,4　　"
90131110,00,電腦網路導論　　　,黃寶儀　,博理212　,"三6 四3,4　"
90239130,02,計算機網路　　　　,逄愛君　,資102　　,"三7,8,9　　"
90225900,00,系統程式設計　　　,鄭卜壬　,資103　　,"三2,3,4　　"
90246100,01,計算機結構　　　　,楊佳玲　,資104　　,"三7,8,9　　"
90248130,00,計算邏輯簡介　　　,王柏堯　,資105　　,"三2,3,4　　"
922U1180,00,類神經網路　　　　,劉長遠　,資105　　,"三7,8,9　　"
922U4430,00,分散式機器學習系統,周承復　,資107　　,"三2,3,4　　"
922U3460,00,醫學影像處理　　　,張瑞峰　,資107　　,"三7,8,9　　"
922M1360,00,高等作業系統　　　,施吉昇　,資110　　,"三7,8,9　　"
943U0300,00,邏輯合成與驗證　　,江介宏　,電二102　,"三2,3,4　　"
921U3430,00,數位積體電路工程　,胡璧合　,電二102　,"三6,7,8　　"
942U0540,00,系統構裝電源完整度,吳瑞北　,電二104　,"三2,3,4　　"
921U1980,00,電腦輔助分析與最佳化,陳中平　,電二104　,"三7,8,9　　"
90110030,04,工程數學-線性代數,楊東霖　,電二106　,"三2 五3,4　"
90120130,02,工程數學-微分方程(一),黃天偉　,電二106　,"三3,4　　　　"
